ENSG00000075624,ENSG00000187514,ENSG00000133112,ENSG00000172757,ENSG00000067225,ENSG00000110700,ENSG00000125691,ENSG00000147604,ENSG00000108518
3.0478466,,2.8942108,3.0903387,2.951421,,,2.5669103,2.8401089
2.8981204,,2.7805977,3.0067768,2.9098673,,,2.5167162,2.7708228
3.0406172,,2.8318772,3.118088,2.9922998,,,2.6061692,2.840784
2.886625,,2.6524956,2.9114583,2.741438,,,2.4158084,2.6155183
2.9910648,,2.8058498,3.1233292,2.942848,,,2.5614877,2.8129864
2.9856398,,2.872388,3.0987587,2.994626,,,2.5779426,2.8588326
2.774113,,2.6631594,2.8853643,2.793248,,,2.427599,2.63318
2.7946775,,2.6664057,2.934809,2.872911,,,2.4638684,2.7175612
2.5943565,,2.3777106,2.8958347,2.5582066,,,2.2936902,2.5542119
2.9041374,,2.7367969,2.9981186,2.8712323,,,2.4848268,2.742236
3.096617,,2.8680286,3.1049194,2.7368357,,,2.525709,2.697921
2.857722,,2.7186763,3.040198,2.9176571,,,2.5111997,2.7686381
2.65923,,2.4790897,2.8650758,2.7472854,,,2.4189708,2.5627828
2.9805787,,2.8185549,3.1564548,3.014743,,,2.6325846,2.832866
2.9615827,,2.8386507,3.022364,2.9062202,,,2.5186827,2.7984443
2.806638,,2.5923097,2.9796147,2.7893183,,,2.4720314,2.6381857
2.9652965,,2.8074493,3.0009046,2.897345,,,2.5214655,2.7702124
2.968209,,2.7520602,3.1057003,2.9088194,,,2.569884,2.7667782
3.0493467,,2.9187508,3.097384,3.013012,,,2.5845988,2.8843732
2.9172494,,2.7847364,2.9984276,2.9017165,,,2.4924252,2.789352
2.8482256,,2.7420695,2.9101455,2.8475702,,,2.4447374,2.7288132
2.8253462,,2.6558695,2.8759565,2.7308478,,,2.3832483,2.6319966
2.943969,,2.7502162,2.928406,2.8055189,,,2.4349673,2.7075205
2.9069602,,2.7678833,3.005078,2.9509847,,,2.532521,2.8115017
2.8927581,,2.707362,3.04092,2.809174,,,2.4564257,2.7271626
2.7648222,,2.4499934,2.8836238,2.7560055,,,2.4161832,2.6187232
3.0658705,,2.8693864,3.09817,2.8958473,,,2.547253,2.7981203
